"","Date Sampled","Address","1st Draw","2-3 Minute","5 Minute","geometry","intersection","fips"
"52","10/3/2018","47XX N MAPLEWOOD AVE","3.6","3.1","3",c(-87.6925212, 41.9667682),1497,"17031040700"
"53","4/2/2019","38XX N SACRAMENTO","4.4","17","2",c(-87.7034009, 41.9504311),2280,"17031160700"
"54","6/14/2018","37XX N MARSHFIELD AVE","3.6","< 1","< 1",c(-87.6704159, 41.948916),506,"17031060300"
"55","12/16/2019","51XX S CORNELL AVE","2.1","5","1.2",c(-87.586734, 41.8021701),826,"17031410100"
"56","1/11/2020","54XX S DORCHESTER AVE","6.8","2.3","1.8",c(-87.5922105, 41.7978632),1713,"17031410700"
"57","10/6/2021","54XX S Ellis Ave","<1.0","<1.0","<1.0",c(-87.601569, 41.797802),2861,"17031410500"
"58","3/28/2022","44XX N MALDEN ST","0.9","1.3","1",c(-87.662744, 41.961844),130,"17031031700"
"59","7/18/2021","38XX N JANSSEN AVE","2.6","10","9.7",c(-87.6657412, 41.9506834),1186,"17031060400"
"60","4/9/2016","104XX S CAMPBELL AVE","1.16","2.30","<1",c(-87.6843349, 41.7044121),1229,"17031720500"
"61","10/4/2016","35XX N GREENVIEW AVE","3.4","8.5","7.8",c(-87.6666734, 41.9453707),1093,"17031831900"
"62","6/4/2021","29XX S FARRELL ST","5.1","2.3","2.1",c(-87.6532519, 41.8409982),329,"17031600600"
"63","11/9/2021","17XX W 21ST ST","<1.0","<1.0","<1.0",c(-87.6687157, 41.8543121),1981,"17031310800"
"64","11/4/2020","3XX S MICHIGAN AVE","< 1","< 1","< 1",c(-87.624729, 41.87815),2732,"17031320400"
"65","7/21/2016","96XX S SEELEY AVE","1.3","1.2","1.1",c(-87.6738126, 41.7190843),2026,"17031720300"
"66","9/12/2016","61XX W DAKIN ST","6.9","20","33",c(-87.7793694, 41.952291),2739,"17031170200"
"67","4/10/2022","40XX N ST LOUIS AVE","<0.5","1.2","<0.5",c(-87.7153571, 41.9538741),747,"17031160502"
"68",NA,"53XX S CALIFORNIA AVE","Customer declined further testing",NA,NA,c(-87.6941851, 41.7972073),2088,"17031630400"
"69","7/30/2019","43XX N SPAULDING AVE","< 1","< 1","< 1",c(-87.7107793, 41.9595229),144,"17031160501"
"70","7/23/2018","103XX S CHRISTIANA AVE","2.8","14","2.9",c(-87.7053762, 41.7059575),1232,"17031740200"
"71","4/30/2019","88XX S MERRILL AVE","7.5","13","19",c(-87.5723539, 41.7351483),820,"17031480100"
"72","8/4/2021","28XX W Division St","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.697025, 41.9030084),2571,"17031240900"
"73","4/4/2021","52XX N SAWYER AVE","3.5","3","2.9",c(-87.7098955, 41.9757525),2330,"17031831800"
"74","2/15/2019","35XX W PIERCE AVE","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.7145253, 41.9093542),2461,"17031230800"
"75","7/25/2019","41XX N MAJOR AVE","4.2","7.5","2.9",c(-87.7698953, 41.9550699),286,"17031150402"
"76","6/20/2018","6XX W BARRY AVE","1.5","1.3","1.7",c(-87.6443362, 41.93791),1190,"17031063100"
"77","11/5/2019","18XX N MONTICELLO AVE","< 1","1.5","< 1",c(-87.7182237, 41.9138352),1871,"17031222900"
"78","6/10/2018","14XX N BELL AVE","2.8","1.9","1.5",c(-87.6837882, 41.9068514),1929,"17031241200"
"79","8/23/2021","73XX S GREEN ST","6","4.1","3.2",c(-87.6458298, 41.7613982),1032,"17031681400"
"80","8/7/2019","32XX N RACINE AVE","< 1","< 1","< 1",c(-87.6591571, 41.9400794),2748,"17031062300"
"81","9/1/2020","16XX W SUNNYSIDE AVE","3.1","1.4","1.1",c(-87.6693695, 41.9634054),131,"17031031900"
"82","2/15/2019","21XX NORTH HOYNE BLVD","1.3","1.7","< 1",c(-87.6803686, 41.9201227),2331,"17031832200"
"83","2/14/2019","30XX N OLCOTT AVE","6.2","11","2.8",c(-87.8139459, 41.9343859),291,"17031170900"
"84","5/20/2019","54XX N NEVA AVE","2.6","7.5","1.1",c(-87.8061312, 41.9792734),849,"17031100600"
"85","5/29/2018","32XX S LITUANICA AVE","25","3.5","3.3",c(-87.6489914, 41.8362764),668,"17031600900"
"86","5/6/2021","23XX N CLEVELAND AVE","< 1","< 1","< 1",c(-87.6414168, 41.9237516),139,"17031071300"
"87","3/11/2022","18XX W FARWELL AVE","2.1","2.7","1.5",c(-87.6759458, 42.006725),3109,"17031010701"
"88","8/12/2019","95XX S PEORIA ST","4.9","8.2","3.6",c(-87.6456322, 41.7213356),72,"17031730400"
"89","9/29/2021","45XX W CONGRESS PKWY","2","1.5","<1.0",c(-87.7378721, 41.8743937),7,"17031260500"
"90","9/1/2021","113XX S ELIZABETH ST","2.5","2.7","1.5",c(-87.6531798, 41.687554),74,"17031750600"
"91","9/10/2016","72XX W GREENLEAF AVE","2.4","1.6","1.6",c(-87.8066917, 42.008992),1192,"17031090200"
"92","9/12/2021","10XX W 108TH ST","13","17","6.1",c(-87.6474242, 41.6977541),73,"17031750100"
"93","10/24/2018","18XX W 19TH ST","1.1","1.4","1",c(-87.6710377, 41.8558901),1981,"17031310800"
"94","3/27/2019","50XX W GUNNISON ST","2","1.8","< 1",c(-87.7527869, 41.9692157),2253,"17031110502"
"95","4/16/2022","19XX W WINNEMAC AVE","0.6","<0.5","<0.5",c(-87.6763167, 41.973311),698,"17031040402"
"96","8/14/2017","56XX N KENTON AVE","3.6","3.7","2.2",c(-87.7431231, 41.9826847),2980,"17031130200"
"97","4/6/2021","28XX W EASTWOOD AVE","< 1","< 1","< 1",c(-87.6991903, 41.9659157),2259,"17031140800"
"98","10/19/2020","58XX N KOSTNER AVE","2.4","3.3","2.4",c(-87.738561, 41.986556),278,"17031120300"
"99","6/20/2020","9XX W ROSCOE ST","< 1","< 1","< 1",c(-87.652054, 41.9438015),2977,"17031062100"
"100","4/19/2019","78XX W GREGORY ST","3.8","5.4","1.3",c(-87.8220141, 41.9807338),2647,"17031100500"
"101","9/18/2021","22XX W ARTHUR AVE","1.2","<1.0","<1.0",c(-87.6850638, 41.9996159),128,"17031020500"
"102","6/17/2021","115XX S ARTESIAN AVE","3.2","5.6","1.9",c(-87.6823294, 41.6842493),1250,"17031750400"
"103","8/11/2018","44XX N MULLIGAN AVE","4","9.3","4.2",c(-87.7857676, 41.9604479),2981,"17031150502"
"104","9/30/2019","56XX S NATCHEZ AVE","< 1","< 1","< 1",c(-87.7844719, 41.7903244),1796,"17031561000"
"105","5/16/2019","122XX S RACINE AVE","4.1","13","3.2",c(-87.6517415, 41.6720473),2865,"17031530400"
"106","6/9/2017","45XX N PAULINA ST","< 1","< 1","< 1",c(-87.6708838, 41.9633851),131,"17031031900"
"107","11/16/2019","32XX W DOUGLAS BLVD","< 1","< 1","< 1",c(-87.7055576, 41.8629735),2645,"17031843100"
"108","7/15/2016","58XX S BLACKSTONE AVE","1.1","< 1","< 1",c(-87.5903837, 41.7895509),2777,"17031411100"
"109","8/28/2016","19XX W HURON ST","< 1","< 1","< 1",c(-87.6747304, 41.8943536),1024,"17031243100"
"110","4/16/2019","17XX N SAINT MICHAELS CT","2.2","1.6","< 1",c(-87.6405826, 41.9130035),758,"17031071700"
"111","8/6/2018","5XX N NOBLE ST","< 1","< 1","< 1",c(-87.6622827, 41.891041),550,"17031243300"
"112","7/19/2018","50XX W CARMEN AVE","< 1","< 1","< 1",c(-87.7528376, 41.9734538),967,"17031120400"
"113","6/10/2018","65XX W GEORGE ST","< 1","< 1","< 1",c(-87.788188, 41.9327947),2329,"17031831500"
"114","9/21/2021","51XX N Menard Ave","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.773647, 41.9740084),2252,"17031110400"
"115","3/27/2019","118XX S HARVARD AVE","2.7","4.6","< 1",c(-87.6311303, 41.6797481),1999,"17031530200"
"116","8/23/2021","60XX N NAVARRE AVE","1.9","5.5","2.1",c(-87.7927007, 41.9899276),1193,"17031100200"
"117","1/17/2019","64XX N NOKOMIS AVE","3.3","2.4","1.2",c(-87.7592973, 41.9973741),2254,"17031120200"
"118","8/31/2019","19XX W 102ND ST","4.5","4.4","3.6",c(-87.6702494, 41.7080322),71,"17031720200"
"119","5/8/2019","73XX N ODELL","4.2","15","3.6",c(-87.8105195, 42.0136619),1898,"17031090100"
"120","11/18/2018","14XX W ALTGELD ST","< 1","< 1","< 1",c(-87.6633708, 41.927009),1338,"17031070500"
"121","8/1/2019","41XX N RICHMOND ST","4.2","9.5","6",c(-87.7019536, 41.9557969),1034,"17031160602"
"122","10/24/2021","10XX N OAKLEY BLVD","<1.0","<1.0","<1.0",c(-87.6848065, 41.8995889),1021,"17031242400"
"123","4/3/2021","18XX W NORWOOD ST","6.1","8.1","1.4",c(-87.6752968, 41.9919511),3111,"17031020902"
"124","11/30/2020","25XX N BERNARD ST","2.4","2.4","2",c(-87.7137403, 41.9269377),2313,"17031220602"
"125","10/31/2021","41XX N ROCKWELL ST","<1.0","<1.0","<1.0",c(-87.693713, 41.956116),235,"17031050300"
"126","11/13/2019","105XX S HOYNE AVE","3","7.5","2.1",c(-87.6745927, 41.7026997),752,"17031720600"
"127","8/21/2021","21XX S TAN CT","<1.0","<1.0","<1.0",c(-87.6339458, 41.8551139),2369,"17031841100"
"128","4/16/2018","17XX N CLARK ST","< 1","< 1","< 1",c(-87.6328603, 41.9131768),1008,"17031071500"
"129","5/21/2016","113XX S UNION AVE","1.5","2.8","1.4",c(-87.639843, 41.6887315),149,"17031491200"
"130","3/19/2020","81XX S HERMITAGE AVE","3.3","3.8","1.3",c(-87.6672744, 41.7465617),1226,"17031710500"
"131","9/19/2019","40XX N RAVENSWOOD AVE","< 1","< 1","< 1",c(-87.6743262, 41.9544089),756,"17031050100"
"132","1/4/2020","25XX W WINONA ST","3.5","9.4","1.9",c(-87.6922892, 41.9748538),1180,"17031040201"
"133","9/14/2017","57XX N OKETO AVE**","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.8121978, 41.9836815),704,"17031100400"
"134","7/16/2019","69XX N WAUKESHA AVE","2.7","11","2.7",c(-87.7649263, 42.0064435),2254,"17031120200"
"135","2/13/2019","19XX N NEW ENGLAD AVE","6.2","13","2.2",c(-87.7976396, 41.9146332),376,"17031250500"
"136","6/18/2019","54XX S RUTHERFORD AVE","2.9","2.2","1.2",c(-87.7906951, 41.7939792),2741,"17031560900"
"137","1/30/2020","12XX W ARTHUR AVE","1.6","4.2","1.8",c(-87.6613005, 42.0006639),527,"17031010503"
"138","10/17/2019","98XX S DAMEN AVE","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.6722041, 41.7156366),71,"17031720200"
"139","4/26/2019","22XX W CULLOM AVE","3.1","3.1","2.7",c(-87.6839596, 41.9597631),1182,"17031050200"
"140","2/22/2020","35XX W LYNDALE ST","1.6","< 1","< 1",c(-87.7136589, 41.9218991),2315,"17031221000"
"141","1/26/2020","51XX W PENSACOLA AVE","1.3","1","< 1",c(-87.7549979, 41.959949),2543,"17031150200"
"142","11/7/2019","115XX S BISHOP ST","4.9","4.1","1.9",c(-87.657964, 41.6848719),74,"17031750600"
"143","6/17/2018","54XX N GLENWOOD AVE","1.5","< 1","< 1",c(-87.6652129, 41.9800314),231,"17031030800"
"144","11/12/2019","80XX S KIRKLAND AVE","1.2","2.6","< 1",c(-87.7298457, 41.7469201),670,"17031700301"
"145","10/6/2021","60XX N BROADWAY ST","<1.0","<1.0","<1.0",c(-87.660547, 41.9912184),129,"17031030200"
"146","3/4/2022","32XX N RAVENSWOOD AVE","<0.5","<0.5","<0.5",c(-87.6738928, 41.9396289),757,"17031051200"
"147","8/30/2019","11XX E 85TH ST","2","2","1.4",c(-87.596426, 41.7398926),2593,"17031834300"
"148","12/2/2018","17XX W CHASE AVE","3.3","2.7","2",c(-87.67261, 42.0139933),1764,"17031010202"
"149","7/21/2021","52XX W MONROE ST","4.1","8.3","2.5",c(-87.7553543, 41.8796996),2518,"17031252102"
"150","1/25/2020","14XX W LEXINGTON ST","< 1","< 1","< 1",c(-87.6617592, 41.8725202),762,"17031832900"
"151","3/1/2020","9XX W ARGYLE ST","< 1","< 1","< 1",c(-87.6526846, 41.9736403),1702,"17031031300"
"152","3/21/2019","XX N LONG AVE","1.5","< 1","< 1",c(-87.7601278, 41.88036),1029,"17031251900"
"153","12/20/2017","61XX S GREENWOOD AVE","< 1","< 1","< 1",c(-87.5995211, 41.7841049),216,"17031420300"
"154","1/24/2019","28XX S KILDARE","19","6.2","2.4",c(-87.732076, 41.840336),1210,"17031301801"
"155","9/27/2019","45XX N ASHLAND AVE","2","2","1.6",c(-87.669699, 41.9636232),131,"17031031900"
"156","9/29/2019","61XX W LAWRENCE AVE","4.8","4.9","1.9",c(-87.7798056, 41.9678113),2243,"17031150501"
"157","4/22/2022","55XX S ALBANY AVE","5.3","5.1","1.9",c(-87.7011113, 41.7935557),992,"17031630800"
"158","5/18/2019","36XX W 81ST ST","2","4.5","1.1",c(-87.7122784, 41.7462241),1225,"17031700401"
"159","8/30/2018","73XX N ASHLAND BLVD","< 1","1.5","1.9",c(-87.670244, 42.0138307),1764,"17031010202"
"160","11/19/2021","27XX N TROY ST","4.7","2.3","2.1",c(-87.7063457, 41.9303386),2569,"17031220500"
"161","2/25/2019","49XX W GEORGE ST","4.3","1.4","1",c(-87.749326, 41.9335649),2303,"17031190200"
"162","5/7/2017","111XX S SACRAMENTO AVE","< 1","< 1","< 1",c(-87.6961442, 41.6915928),2507,"17031740100"
"163","6/20/2019","63XX S HERMITAGE AVE","1.2","1.4","1.1",c(-87.6678542, 41.7793926),998,"17031671200"
"164","11/3/2018","36XX N LAKEWOOD AVE","< 1","< 1","< 1",c(-87.6617543, 41.947326),507,"17031061200"
"165","7/12/2019","48XX W HENDERSON ST","< 1","< 1","< 1",c(-87.7470126, 41.9415633),970,"17031151002"
"166","11/11/2019","11XX W Morse Ave","23.0","1.4","4.2",c(-87.6593336, 42.008011),674,"17031010400"
"167","8/25/2021","39XX N OCTAVIA AVE","2.2","2.7","1.5",c(-87.809892, 41.9508039),290,"17031170400"
"168","8/13/2020","19XX W SCHOOL ST","5","4.5","4.2",c(-87.6761237, 41.9416386),757,"17031051200"
"169","7/10/2019","49XX W SCHOOL","10","59","6.6",c(-87.7495593, 41.940801),970,"17031151002"
"170","4/23/2019","103XX S DRAKE AVE","4.2","1.8","1.1",c(-87.7101485, 41.7058193),1232,"17031740200"
"171","7/21/2019","21XX N CAMPBELL AVE","1.4","2.4","1.7",c(-87.6895205, 41.9201148),2248,"17031221500"
"172","11/4/2019","58XX S INDIANA AVE","2.4","4.1","2.2",c(-87.621172, 41.789097),2776,"17031400500"
"173","7/22/2021","27XX N LAKEWOOD AVE","<1.0","<1.0","<1.0",c(-87.6613954, 41.9305138),1338,"17031070500"
"174","11/15/2018","105XX S LAWNDALE AVE","2","1.2","< 1",c(-87.7134206, 41.7023334),1232,"17031740200"
"175","7/1/2016","36XX N LAKEWOOD AVE","< 1","< 1","< 1",c(-87.6617543, 41.947326),507,"17031061200"
"176","4/22/2018","27XX N SAWYER AVE","< 1","< 1","< 1",c(-87.7095445, 41.9301906),2313,"17031220602"
"177","1/11/2020","5XX S CLINTON ST","< 1","< 1","< 1",c(-87.6415754, 41.8750801),2798,"17031841900"
"178","8/17/2020","97XX S CALUMET AVE","9","12","5.7",c(-87.6152577, 41.7182022),2863,"17031490500"
"179","7/2/2019","89XX S CHAPPEL","180","8.9","3.5",c(-87.5747088, 41.7332931),607,"17031480400"
"180","4/3/2022","112XX S HOMAN AVE","3.7","4.4","2.9",c(-87.7059257, 41.6895902),1234,"17031740400"
"181","6/28/2018","17XX N RICHMOND ST","< 1","< 1","< 1",c(-87.7004781, 41.9124347),375,"17031240800"
"182","3/4/2020","66XX N LEHIGH AVE","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.768009, 42.001108),1195,"17031120100"
"183","7/11/2017","24XX N BERNARD ST","18.0","9.8","6.4",c(-87.7137382, 41.9248179),2693,"17031220601"
"184","6/7/2021","58XX N WHIPPLE ST","5","9.5","2.7",c(-87.7056043, 41.9869628),636,"17031020701"
"185","7/22/2016","16XX N CLEVELAND AVE","9.6","3.6","29.0",c(-87.6410206, 41.9111476),758,"17031071700"
"186","10/20/2019","23XX S MILLARD AVE","8.2","12","6.9",c(-87.7166101, 41.8496512),1889,"17031300600"
"187","9/4/2019","99XX S OAKLEY AVE","3.5","5.7","2.1",c(-87.6797139, 41.7135333),2026,"17031720300"
"188","10/21/2021","44XX S MOZART ST","1.2","<1.0","<1.0",c(-87.6958839, 41.8135889),940,"17031580502"
"189","9/24/2018","31XX W FULLERTON AVE","< 1","< 1","< 1",c(-87.704837, 41.9250453),2569,"17031220500"
"190","4/7/2016","11XX W WELLINGTON AVE","2.80","1.32","1.13",c(-87.6565909, 41.9364407),135,"17031062900"
"191","4/3/2021","48XX W BELDEN AVE","< 1","< 1","< 1",c(-87.7463189, 41.9224105),1039,"17031191100"
"192","6/15/2018","36XX N LONG AVE","7","9.5","4.2",c(-87.7618323, 41.9459352),288,"17031151100"
"193","2/23/2020","106XX S KEDZIE AVE","2","6.8","< 1",c(-87.7014581, 41.7004667),1232,"17031740200"
"194","8/27/2018","56XX W BYRON ST","2.4","2.3","2.2",c(-87.766935, 41.9513312),143,"17031150700"
"195","2/5/2019","46XX N KOSTNER AVE","7.7","4.3","2.9",c(-87.7385439, 41.964472),2245,"17031160100"
"196","4/7/2019","89XX S YATES BLVD","2.6","4.1","1.7",c(-87.5662243, 41.7333867),607,"17031480400"
"197","7/18/2018","21XX W BERTEAU AVE","2.2","2.9","2.2",c(-87.6812796, 41.957772),1182,"17031050200"
"198","2/23/2019","52XX S MOBILE AVE","1.2","1.7","< 1",c(-87.7797705, 41.797767),2007,"17031560800"
"199","4/30/2019","91XX S PHILLIPS AVE","2.5","4.6","1.3",c(-87.5646117, 41.7298762),821,"17031480500"
"200","6/26/2018","8XX W 33RD PL","< 1","< 1","< 1",c(-87.646177, 41.8338437),2673,"17031839700"
"201","10/14/2021","65XX N NORTHWEST HWY","<1.0","<1.0","<1.0",c(-87.8102267, 41.9987307),1192,"17031090200"
"202","11/5/2018","11XX E 91ST ST","3.9","3.1","1.8",c(-87.5972203, 41.7296541),1834,"17031470100"
"203","3/9/2020","21XX N KEDVALE AVE","2.2","2.6","2",c(-87.7302546, 41.9189421),2545,"17031200402"
"204","6/4/2018","54XX N MASON AVE","3.5","7.7","3",c(-87.7768914, 41.9799174),2541,"17031110200"
"205","4/16/2019","64XX N HAMILTON AVE","< 1","< 1","< 1",c(-87.6838683, 41.9979777),128,"17031020500"
"206","4/30/2021","88XX S EUCLID AVE","1.9","1.6","1.3",c(-87.5771481, 41.7351038),820,"17031480100"
"207","3/14/2021","34XX N OCTAVIA AVE","3","3.9","9.3",c(-87.8092882, 41.9415179),2544,"17031170800"
"208","9/20/2019","31XX S MAY ST","1.5","2","2.2",c(-87.6547896, 41.8379397),1771,"17031600700"
"209","9/28/2021","5XX W 120TH ST","13","31","30",c(-87.6346346, 41.6760747),224,"17031530501"
"210","5/22/2018","10XX N PAULINA ST","< 1","< 1","< 1",c(-87.6698357, 41.8996654),111,"17031242100"
"211","6/3/2018","33XX W HOLLYWOOD AVE","< 1","< 1","< 1",c(-87.7113713, 41.9848521),2255,"17031130300"
"212","10/28/2019","38XX N CLAREMONT AVE","2.3","4.8","1.6",c(-87.6873375, 41.9507087),132,"17031050500"
"213","2/7/2019","109XX S WASHTENAW AVE","7.8","6.8","1.1",c(-87.6890316, 41.6951962),3108,"17031750300"
"214","3/9/2022","67XX N BOSWORTH AVE","<0.5","<0.5","<0.5",c(-87.6697093, 42.0037283),1766,"17031010600"
"215","10/5/2016","31XX N SHERIDAN RD","< 1","< 1","< 1",c(-87.6398827, 41.9378991),1542,"17031063200"
"216","2/4/2019","34XX N PAGE AVE","5.1","6","1.7",c(-87.8279348, 41.9412688),2300,"17031170600"
"217","4/4/2021","61XX N SHERIDAN RD","< 1","< 1","< 1",c(-87.6554519, 41.9923441),3054,"17031030101"
"218","8/19/2019","39XX N PIONEER AVE","4.7","14","5.6",c(-87.8320729, 41.9504934),1037,"17031170500"
"219","9/10/2019","106XX S UNION AVE","2.8","8","2.2",c(-87.6405553, 41.7013439),843,"17031491100"
"220","11/28/2021","9XX W 34TH ST","2.1","2","1.8",c(-87.6485832, 41.8327661),2673,"17031839700"
"221","2/10/2020","16XX N TROY ST","< 1","< 1","2.2",c(-87.7056598, 41.9102062),109,"17031230100"
"222","11/29/2020","74XX N CLAREMONT AVE","< 1","< 1","< 1",c(-87.6889278, 42.0157406),1132,"17031020100"
"223","10/19/2020","51XX N KENNETH AVE","6","6.2","2.7",c(-87.7396401, 41.973754),2257,"17031140400"
"224","10/10/2021","14XX W CATALPA AVE","<1.0","<1.0","<1.0",c(-87.6649111, 41.9817244),231,"17031030800"
"225","6/28/2021","84XX S Kenwood Ave","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.5917141, 41.7421673),2593,"17031834300"
"226","4/17/2022","77XX W FARRAGUT AVE","1.8","4.4","0.8",c(-87.8195998, 41.975347),2647,"17031100500"
"227","5/16/2017","45XX N BEACON ST","< 1","< 1","< 1",c(-87.6637517, 41.9634764),130,"17031031700"
"228","9/28/2019","27XX N MARSHFIELD AVE","< 1","< 1","< 1",c(-87.6698698, 41.9307193),2539,"17031070700"
