,Date Sampled,Address,1st Draw,2-3 Minute,5 Minute,intersection,fips,Latitude,Longitude
0,10/16/2019,1000XX S OAKLEY AVE,3,10,9.6,2515.0,17031660700.0,-87.6809312, 41.7737953
1,2/23/2019,100XX S ARTESIAN AVE,9.2,4.3,2.5,2027.0,17031720400.0,-87.6833388, 41.7117377
2,5/3/2019,100XX S ARTESIAN AVE,1.1,2.9,1.3,2027.0,17031720400.0,-87.6833388, 41.7117377
3,5/5/2019,100XX S ARTESIAN AVE,1.2,2.6,< 1,2027.0,17031720400.0,-87.6833388, 41.7117377
4,11/30/2021,100XX S AVENUE L,3.6,16,4.6,59.0,17031520200.0,-87.5367684, 41.7136947
5,5/23/2020,100XX S AVENUE M,3.9,2.5,1.7,59.0,17031520200.0,-87.5380139, 41.7137099
6,4/23/2018,100XX S BELL AVE,1.7,3.4,1.6,2026.0,17031720300.0,-87.678589, 41.7117226
7,3/6/2019,100XX S BELL AVE,1.4,1.9,< 1,2026.0,17031720300.0,-87.678589, 41.7117226
8,4/28/2019,100XX S BELL AVE,23,4.3,<1,2026.0,17031720300.0,-87.678589, 41.7117226
9,8/23/2019,100XX S BELL AVE,4,5.8,2.6,2026.0,17031720300.0,-87.678589, 41.7117226
10,9/4/2019,100XX S BELL AVE,See Follow-Up Sequential Sampling Table for Results,,,2026.0,17031720300.0,-87.678589, 41.7117226
11,9/26/2019,100XX S BELL AVE,2.3,5,3.6,2026.0,17031720300.0,-87.678589, 41.7117226
12,11/7/2020,100XX S BELL AVE,1.8,1.8,< 1,2026.0,17031720300.0,-87.678589, 41.7117226
13,6/6/2016,100XX S CALHOUN AVE,4.10,5.10,9.80,846.0,17031510200.0,-87.5624699, 41.7133621
14,7/16/2016,100XX S CALHOUN AVE,See Follow-Up Sequential Sampling Table for Results,,,846.0,17031510200.0,-87.5624699, 41.7133621
15,2/17/2019,100XX S CALIFORNIA AVE,4.5,8,2,2656.0,17031821900.0,-87.6919896, 41.7116007
16,3/2/2019,100XX S CALIFORNIA AVE,5.6,4,1.1,2656.0,17031821900.0,-87.6919896, 41.7116007
17,5/7/2019,100XX S CALIFORNIA AVE,2.9,7,< 1,2656.0,17031821900.0,-87.6919896, 41.7116007
18,7/16/2019,100XX S CALUMET AVE,4.7,6.1,2.6,841.0,17031490800.0,-87.6153909, 41.7126446
19,8/2/2019,100XX S CALUMET AVE,5.1,20,6.9,841.0,17031490800.0,-87.6153909, 41.7126446
20,8/29/2019,100XX S CALUMET AVE,12,7.1,4.4,841.0,17031490800.0,-87.6153909, 41.7126446
21,12/17/2019,100XX S CALUMET AVE,See Follow-Up Sequential Sampling Table for Results,,,841.0,17031490800.0,-87.6153909, 41.7126446
22,10/13/2020,100XX S CALUMET AVE,2.7,4.5,2.6,841.0,17031490800.0,-87.6153909, 41.7126446
23,4/13/2022,100XX S CALUMET AVE,7,0.9,<0.5,841.0,17031490800.0,-87.6153909, 41.7126446
24,3/10/2019,100XX S CAMPBELL AVE,< 1,< 1,< 1,2027.0,17031720400.0,-87.6845898, 41.7117214
25,12/19/2018,100XX S CARPENTER ST,2,2.2,1,1231.0,17031730600.0,-87.6493268, 41.7121441
26,8/2/2019,100XX S CARPENTER ST,13,29,7.5,1231.0,17031730600.0,-87.6493268, 41.7121441
27,12/14/2019,100XX S CARPENTER ST,See Follow-Up Sequential Sampling Table for Results,,,1231.0,17031730600.0,-87.6493268, 41.7121441
28,7/26/2020,100XX S Carpenter St,85.0,11.0,4.7,1231.0,17031730600.0,-87.6493268, 41.7121441
29,9/29/2020,100XX S CARPENTER ST,2.4,11,2.7,1231.0,17031730600.0,-87.6493268, 41.7121441
30,12/9/2020,100XX S CARPENTER ST,2.2,3.3,1.2,1231.0,17031730600.0,-87.6493268, 41.7121441
31,12/22/2020,100XX S CARPENTER ST,4.9,5,1.5,1231.0,17031730600.0,-87.6493268, 41.7121441
32,1/14/2021,100XX S CARPENTER ST,2.5,4.6,1.2,1231.0,17031730600.0,-87.6493268, 41.7121441
33,7/14/2021,100XX S Carpenter St,See Follow-Up Sequential Sampling Table for Results,,,1231.0,17031730600.0,-87.6493268, 41.7121441
34,12/16/2021,100XX S CARPENTER ST,2.7,4.1,1.3,1231.0,17031730600.0,-87.6493268, 41.7121441
35,5/14/2019,100XX S CHARLES ST,< 1,< 1,< 1,71.0,17031720200.0,-87.6605249, 41.7113371
36,4/4/2022,100XX S CHARLES ST,15,22,5.7,71.0,17031720200.0,-87.6605249, 41.7113371
37,3/28/2019,100XX S CRANDON AVE,3.2,3.7,1.2,847.0,17031510300.0,-87.5670003, 41.7134829
38,8/15/2019,100XX S CRANDON AVE,2.1,4.6,1.5,847.0,17031510300.0,-87.5670003, 41.7134829
39,10/24/2019,100XX S CRANDON AVE,2.3,4.1,1.5,847.0,17031510300.0,-87.5670003, 41.7134829
40,7/4/2016,100XX S DAMEN AVE,1.6,5.5,1.5,2026.0,17031720300.0,-87.6724259, 41.7117844
41,7/8/2016,100XX S DAMEN AVE,2.5,4.8,1.9,2026.0,17031720300.0,-87.6724259, 41.7117844
42,7/30/2016,100XX S DAMEN AVE,1.7,2.5,1.4,2026.0,17031720300.0,-87.6724259, 41.7117844
43,9/3/2019,100XX S DAMEN AVE,1,1.9,1,2026.0,17031720300.0,-87.6724259, 41.7117844
44,12/7/2018,100XX S DR MARTIN LUTHER KING JR DR,1.7,3.6,< 1,841.0,17031490800.0,-87.6139324, 41.7124795
45,8/22/2019,100XX S DR MARTIN LUTHER KING JR DR,2.4,1.7,1.5,841.0,17031490800.0,-87.6139324, 41.7124795
46,5/16/2019,100XX S EMERALD AVE,1.7,2.5,2.3,1993.0,17031730500.0,-87.6422927, 41.7122269
47,6/18/2018,100XX S EXCHANGE AVE,5.2,3,2.8,2510.0,17031510100.0,-87.5523236, 41.7133837
48,10/19/2016,100XX S FAIRFIELD AVE,2.4,2.3,1.7,2027.0,17031720400.0,-87.6907986, 41.7116127
49,2/13/2019,100XX S FAIRFIELD AVE,3.9,7.7,< 1,2027.0,17031720400.0,-87.6907986, 41.7116127
50,3/11/2019,100XX S FAIRFIELD AVE,1.9,5.5,< 1,2027.0,17031720400.0,-87.6907986, 41.7116127
51,5/10/2019,100XX S FOREST AVE,5.2,12,2.1,841.0,17031490800.0,-87.6165874, 41.7126333
52,8/7/2019,100XX S GREEN ST,1.1,1.4,< 1,1231.0,17031730600.0,-87.6444327, 41.7121928
53,9/29/2016,100XX S HAMILTON AVE,2.9,3,2.7,2026.0,17031720300.0,-87.6757151, 41.7119298
54,2/16/2019,100XX S HAMILTON AVE,1.3,1.6,1.2,2026.0,17031720300.0,-87.6757151, 41.7119298
55,1/7/2022,100XX S HOXIE AVE,3.2,3.5,3.8,846.0,17031510200.0,-87.5612789, 41.7133769
56,10/2/2016,100XX S HOYNE AVE,1.3,2.3,< 1,2026.0,17031720300.0,-87.6748923, 41.7117657
57,10/25/2018,100XX S HOYNE AVE,1.4,1.6,1.4,2026.0,17031720300.0,-87.6748923, 41.7117657
58,2/25/2019,100XX S HOYNE AVE,1.6,5.1,1.1,2026.0,17031720300.0,-87.6748923, 41.7117657
59,8/7/2019,100XX S HOYNE AVE,2.5,2.7,2.2,2026.0,17031720300.0,-87.6748923, 41.7117657
60,4/11/2021,100XX S HOYNE AVE,1.1,< 1,< 1,2026.0,17031720300.0,-87.6748923, 41.7117657
61,10/22/2019,100XX S LA SALLE ST,< 1,< 1,< 1,148.0,17031490700.0,-87.6275284, 41.7124713
62,6/14/2021,100XX S LAFAYETTE AVE,6.3,1.5,1.1,148.0,17031490700.0,-87.6251724, 41.7124868
63,10/19/2021,100XX S LaSalle St,7.4,12,11,148.0,17031490700.0,-87.6275284, 41.7124713
64,12/14/2021,100XX S LaSalle St,See Follow-Up Sequential Sampling Table for Results,,,148.0,17031490700.0,-87.6275284, 41.7124713
65,3/22/2019,100XX S LEAVITT ST,1.2,4.2,1,2026.0,17031720300.0,-87.6772494, 41.7117702
66,11/11/2018,100XX S LONGWOOD DR,6.2,14,8.8,71.0,17031720200.0,-87.6688837, 41.7120347
67,7/29/2019,100XX S LONGWOOD DR,6.5,6.8,14,71.0,17031720200.0,-87.6688837, 41.7120347
68,,100XX S LONGWOOD DR,Customer declined further testing,,,71.0,17031720200.0,-87.6688837, 41.7120347
69,4/20/2020,100XX S LOWE AVE,< 1,1.9,< 1,1993.0,17031730500.0,-87.63968, 41.712303)
70,10/6/2021,100XX S M,57,2.5,2.2,59.0,17031520200.0,-87.5380139, 41.7137099
71,1/30/2020,100XX S MALTA ST,2.6,4.1,< 1,71.0,17031720200.0,-87.6589741, 41.7113568
72,8/27/2019,100XX S MAPLEWOOD AVE,6.4,13,2.5,2027.0,17031720400.0,-87.685785, 41.711713)
73,9/18/2019,100XX S MAPLEWOOD AVE,1.9,1.6,1.1,2027.0,17031720400.0,-87.685785, 41.711713)
74,4/9/2019,100XX S MERRILL AVE,10,1.5,< 1,847.0,17031510300.0,-87.5706373, 41.7134285
75,3/30/2018,100XX S MORGAN ST,1.6,5.6,1.3,1231.0,17031730600.0,-87.6481511, 41.7121473
76,7/3/2016,100XX S OAKLEY AVE,2.1,2.2,2.1,2026.0,17031720300.0,-87.6797466, 41.7117123
77,7/6/2016,100XX S OAKLEY AVE,2.6,1.1,< 1,2026.0,17031720300.0,-87.6797466, 41.7117123
78,11/4/2018,100XX S OAKLEY AVE,5.6,2.1,1.3,2026.0,17031720300.0,-87.6797466, 41.7117123
79,3/7/2019,100XX S OAKLEY AVE,< 1,1.5,3.5,2026.0,17031720300.0,-87.6797466, 41.7117123
80,8/25/2019,100XX S OAKLEY AVE,3.8,2.7,2.4,2026.0,17031720300.0,-87.6797466, 41.7117123
81,10/22/2019,100XX S OGLESBY AVE,1.6,2.1,1,847.0,17031510300.0,-87.5657919, 41.7134988
82,9/16/2021,100XX S PAXTON AVE,6.7,8.4,7.5,847.0,17031510300.0,-87.5694168, 41.7134563
83,6/24/2019,100XX S PEORIA ST,1.9,2.3,1.6,1231.0,17031730600.0,-87.6457085, 41.7121948
84,8/14/2019,100XX S PEORIA ST,2.1,3.2,2,1231.0,17031730600.0,-87.6457085, 41.7121948
85,10/15/2019,100XX S PEORIA ST,6.3,7.7,2.6,1231.0,17031730600.0,-87.6457085, 41.7121948
86,3/10/2020,100XX S PEORIA ST,5.5,< 1,< 1,1231.0,17031730600.0,-87.6457085, 41.7121948
87,8/19/2021,100XX S PEORIA ST,3.5,8.2,4.5,1231.0,17031730600.0,-87.6457085, 41.7121948
88,12/14/2018,100XX S PERRY AVE,1,1.6,< 1,148.0,17031490700.0,-87.6262949, 41.7124826
89,4/21/2022,100XX S PERRY AVE,1.7,3.2,1.8,148.0,17031490700.0,-87.6262949, 41.7124826
90,9/24/2021,100XX S PRAIRIE AVE,2.1,2.2,7.7,841.0,17031490800.0,-87.6178088, 41.7125913
91,12/20/2018,100XX S PROSPECT AVE,< 1,< 1,1.3,71.0,17031720200.0,-87.6631028, 41.7119847
92,10/7/2019,100XX S PROSPECT AVE,8.1,2.2,5,71.0,17031720200.0,-87.6631028, 41.7119847
93,1/21/2020,100XX S PROSPECT AVE,5.7,5.9,2.1,71.0,17031720200.0,-87.6631028, 41.7119847
94,6/10/2021,100XX S PROSPECT AVE,1.8,4.7,4.3,71.0,17031720200.0,-87.6631028, 41.7119847
